# FILE_BYTES RATE_MBIT RTT_MS FORWARD_LOSS_PERCENT SEED
16777216 100 20 0 5101
16777216 100 20 0 5102
16777216 100 20 0 5103
16777216 100 20 0 5104
16777216 100 20 0 5105
16777216 100 20 0 5106
16777216 100 20 0 5107
16777216 100 20 0 5108
16777216 100 20 0 5109
16777216 100 20 0 5110
16777216 100 20 0 5111
16777216 100 20 0 5112
16777216 100 100 0.3 5101
16777216 100 100 0.3 5102
16777216 100 100 0.3 5103
16777216 100 100 0.3 5104
16777216 100 100 0.3 5105
16777216 100 100 0.3 5106
16777216 100 100 0.3 5107
16777216 100 100 0.3 5108
16777216 100 100 0.3 5109
16777216 100 100 0.3 5110
16777216 100 100 0.3 5111
16777216 100 100 0.3 5112
16777216 100 100 1 5101
16777216 100 100 1 5102
16777216 100 100 1 5103
16777216 100 100 1 5104
16777216 100 100 1 5105
16777216 100 100 1 5106
16777216 100 100 1 5107
16777216 100 100 1 5108
16777216 100 100 1 5109
16777216 100 100 1 5110
16777216 100 100 1 5111
16777216 100 100 1 5112
